"","baseMean","log2FoldChange","pvalue","padj","Upregulated"
"Vibrio",273.452760291542,-5.05800344524277,1.27000746355148e-06,5.92670149657357e-06,"MNAW"
"Alteromonas",888.649331148186,3.00913381904756,0.00627099496175812,0.0159625326299297,"NAW"
"Limimaricola",149.473844981685,3.58146693256199,0.00245216226714649,0.00686605434801017,"NAW"
"Litoreibacter",237.868387198685,-4.41467248247666,1.04216167753337e-13,9.72684232364476e-13,"MNAW"
"Marivita",64.5105549391662,-5.93908446739331,8.96355926314953e-07,5.01959318736374e-06,"MNAW"
"Roseibacillus",11.8653213080006,3.33962929213562,1.60938057742369e-06,6.43752230969476e-06,"NAW"
"Novosphingobium",13.0691635959162,-2.34041117131369,0.0110815038373018,0.0258568422870376,"MNAW"
"Nitrospina",308.146122919948,-6.11332409639548,4.78756127004028e-19,6.70258577805639e-18,"MNAW"
"Nisaea",403.807920548448,-5.47286175061905,1.46387473849876e-21,4.09884926779653e-20,"MNAW"
"Amylibacter",377.355341547176,-5.10217988429486,3.31539087739394e-10,2.32077361417576e-09,"MNAW"
"Sphingomonas",22.0567363990453,-2.17170078378391,0.0155351387344958,0.0334602988127601,"MNAW"
"Polaribacter",371.47892420684,3.05351590481212,0.00034025153019854,0.00105856031617323,"NAW"
"Pelagibacter",18105.203100215,-2.20535401708402,4.97043921915285e-05,0.00017396537267035,"MNAW"
