Row.names	Sample.ID	Replicate	Season	Year	Station	WaterOrigin	Water.Mass	Obs.Temp	Obs.Salin	Exp.Temp	Act.Depth	Targ.Depth	Exp.Salin	Latitude	Longitude	Trip.Date	Samp.Date	DOXY	NTRA	PHOS	SLCA
MNAW0914_1	MNAW0914_1	1	Fall	2014	NOL08	ATL	MNAW	8.783	35.251	7.8	175	175	35.2	61.6997	-4.8537	14-Sep	29_9_2014	6.92	11.7	1.03	8.8
NAW0914_1	NAW0914_1	1	Fall	2014	FIM03	ATL	NAW	10.058	35.3948	10.1	150	150	35.4	60.335	-4.1697	14-Sep	30_9_2014	5.86	16.8	1	10.7
NSAIW0914_1	NSAIW0914_1	1	Fall	2014	NOL07	NOR	NSAIW	-0.325	34.9086	0.1	700	700	34.9	61.5853	-4.2478	14-Sep	29_9_2014	6.97	10.5	1.04	10.9
NSDW0914_1	NSDW0914_1	1	Fall	2014	FIM6a	NOR	NSDW	-0.469	34.9078	-0.5	900	1000	34.91	60.6338	-4.8968	14-Sep	30_9_2014	6.98	10.3	1.06	10.9
MNAW0914_2	MNAW0914_2	2	Fall	2014	NOL08	ATL	MNAW	8.783	35.251	8	175	175	35.3	61.6997	-4.8537	14-Sep	29_9_2014	6.92	11.7	1.03	8.8
NAW0914_2	NAW0914_2	2	Fall	2014	FIM03	ATL	NAW	10.058	35.3948	10.4	150	150	35.41	60.335	-4.1697	14-Sep	30_9_2014	5.86	16.8	1	10.7
NSAIW0914_2	NSAIW0914_2	2	Fall	2014	NOL07	NOR	NSAIW	-0.325	34.9086	-0.1	700	700	34.87	61.5853	-4.2478	14-Sep	29_9_2014	6.97	10.5	1.04	10.9
NSDW0914_2	NSDW0914_2	2	Fall	2014	FIM6a	NOR	NSDW	-0.469	34.9078	-0.7	900	1000	34.91	60.6338	-4.8968	14-Sep	30_9_2014	6.98	10.3	1.06	10.9
MNAW0514_1	MNAW0514_1	1	Spring	2014	NOL08	ATL	MNAW	7.524	35.1927	7	200	175	35.1	61.6998	-4.8512	14-May	27_4_2014	6.4	8.8	0.58	2.2
NAW0514_1	NAW0514_1	1	Spring	2014	FIM03	ATL	NAW	9.376	35.3683	9.5	100	150	35.35	60.3353	-4.1678	14-May	2_5_2014	6.3	10.7	0.65	3.3
NSAIW0514_1	NSAIW0514_1	1	Spring	2014	NOL07	NOR	NSAIW	-0.568	34.9101	-0.5	960	700	34.87	61.5857	-4.2485	14-May	27_4_2014	6.93	14.6	0.97	10.3
NSDW0514_1	NSDW0514_1	1	Spring	2014	FIM6a	NOR	NSDW	-0.648	34.9097	-0.7	1030	1000	34.91	60.6512	-4.9072	14-May	1_5_2014	6.98	15	0.99	11.7
MNAW0514_2	MNAW0514_2	2	Spring	2014	NOL08	ATL	MNAW	7.524	35.1927	7.2	200	175	35.2	61.6998	-4.8512	14-May	27_4_2014	6.4	8.8	0.58	2.2
NAW0514_2	NAW0514_2	2	Spring	2014	FIM03	ATL	NAW	9.376	35.3683	9.7	100	150	35.36	60.3353	-4.1678	14-May	2_5_2014	6.3	10.7	0.65	3.3
NSAIW0514_2	NSAIW0514_2	2	Spring	2014	NOL07	NOR	NSAIW	-0.568	34.9101	-0.3	960	700	34.88	61.5857	-4.2485	14-May	27_4_2014	6.93	14.6	0.97	10.3
NSDW0514_2	NSDW0514_2	2	Spring	2014	FIM6a	NOR	NSDW	-0.648	34.9097	-0.6	1030	1000	34.91	60.6512	-4.9072	14-May	1_5_2014	6.98	15	0.99	11.7
MNAW0915_1	MNAW0915_1	1	Fall	2015	NOL08	ATL	MNAW	8.778	35.2766	8.2	175	175	35.1	61.6978	-4.8512	15-Sep	23_9_2015	6.24	8.1	0.51	3.5
NAW0915_1	NAW0915_1	1	Fall	2015	FIM03	ATL	NAW	10	35.3622	10.6	150	150	35.42	60.3348	-4.1722	15-Sep	22_9_2015	5.7	7.5	0.48	2.2
NSAIW0915_1	NSAIW0915_1	1	Fall	2015	NOL07	NOR	NSAIW	-0.211	34.9074	0	700	700	34.88	61.5833	-4.2507	15-Sep	23_9_2015	6.95	9.1	0.55	5.2
NSDW0915_1	NSDW0915_1	1	Fall	2015	FIM6a	NOR	NSDW	-0.614	34.9112	-1	1000	1000	34.91	60.6327	-4.8997	15-Sep	22_9_2015	6.98	15.2	0.94	11.2
MNAW0915_2	MNAW0915_2	2	Fall	2015	NOL08	ATL	MNAW	8.778	35.2766	8.4	175	175	35.2	61.6978	-4.8512	15-Sep	23_9_2015	6.24	8.1	0.51	3.5
NAW0915_2	NAW0915_2	2	Fall	2015	FIM03	ATL	NAW	10	35.3622	10	150	150	35.43	60.3348	-4.1722	15-Sep	22_9_2015	5.7	7.5	0.48	2.2
NSAIW0915_2	NSAIW0915_2	2	Fall	2015	NOL07	NOR	NSAIW	-0.211	34.9074	-0.3	700	700	34.88	61.5833	-4.2507	15-Sep	23_9_2015	6.95	9.1	0.55	5.2
NSDW0915_2	NSDW0915_2	2	Fall	2015	FIM6a	NOR	NSDW	-0.614	34.9112	-0.8	1000	1000	34.91	60.6327	-4.8997	15-Sep	22_9_2015	6.98	15.2	0.94	11.2
MNAW0515_1	MNAW0515_1	1	Spring	2015	NOL08	ATL	MNAW	7.532	35.242	7.4	175	175	35.3	61.6992	-4.8513	15-May	3_5_2015	6.52	9.3	0.64	3.5
NAW0515_1	NAW0515_1	1	Spring	2015	FIM03	ATL	NAW	8.723	35.3458	9.9	150	150	35.37	60.3333	-4.1668	15-May	1_5_2015	5.92	14.6	0.96	5.8
NSAIW0515_1	NSAIW0515_1	1	Spring	2015	NOL07	NOR	NSAIW	-0.001	34.909	-0.2	700	700	34.89	61.5843	-4.2513	15-May	3_5_2015	6.94	16	0.9	8.1
NSDW0515_1	NSDW0515_1	1	Spring	2015	FIM6a	NOR	NSDW	-0.529	34.9111	-0.8	1000	1000	34.91	60.63	-4.9002	15-May	2_5_2015	6.98	15.3	0.93	10.9
MNAW0515_2	MNAW0515_2	2	Spring	2015	NOL08	ATL	MNAW	7.532	35.242	7.6	175	175	35.1	61.6992	-4.8513	15-May	3_5_2015	6.52	9.3	0.64	3.5
NAW0515_2	NAW0515_2	2	Spring	2015	FIM03	ATL	NAW	8.723	35.3458	10	150	150	35.38	60.3333	-4.1668	15-May	1_5_2015	5.92	14.6	0.96	5.8
NSAIW0515_2	NSAIW0515_2	2	Spring	2015	NOL07	NOR	NSAIW	-0.001	34.909	-0.1	700	700	34.89	61.5843	-4.2513	15-May	3_5_2015	6.94	16	0.9	8.1
NSDW0515_2	NSDW0515_2	2	Spring	2015	FIM6a	NOR	NSDW	-0.529	34.9111	-0.8	1000	1000	34.91	60.63	-4.9002	15-May	2_5_2015	6.98	15.3	0.93	10.9
