OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV1	8	144	189	552	107	4029	2034	2077	7075	4241	2	9	322	612	2298	1033	11015	3299	4329	2597	6	1	2902	751	1243	1114	6774	2729	11628	9429	34	4	2284	2462	992	31325	1619	3659	19924	8311
zASV10	152	1210	16	291	20	12	284	370	51	1494	121	63	61	422	89	110	6	14	539	406	1420	1281	69	355	849	169	62	39	101	14983	3014	1306	53	30	5472	4258	14	16	1655	14288
zASV100	79	0	16	57	17	11	121	250	91	57	43	14	103	139	33	18	45	70	97	86	6	2	1	12	4	4	10	9	2	1	2	5	1	2	0	27	4	8	5	0
zASV1000	0	0	0	3	8	1	5	7	8	1	6	6	1	1	12	11	2	4	7	7	307	240	6	13	10	9	34	23	11	18	18	6	10	0	4	30	24	8	16	12
zASV1001	14	0	2	12	5	2	12	14	15	5	6	3	16	13	9	10	1	10	10	4	16	5	1	6	13	1	30	26	31	1	5	10	11	5	3	73	16	11	10	0
zASV1003	181	111	16	55	18	31	86	123	49	32	41	22	82	94	55	49	73	130	85	74	38	20	14	29	10	2	24	14	32	2	66	15	30	12	2	104	14	17	25	11
zASV1004	2	0	2	6	4	2	9	21	17	3	2	6	2	5	4	0	3	8	12	15	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	9	1	0	2	0
zASV1005	87	0	3	13	8	9	59	93	31	9	15	10	17	24	21	12	17	39	22	17	18	6	9	16	17	10	16	20	25	6	10	2	3	3	5	33	3	1	2	1
zASV1006	3	0	0	12	2	2	6	16	5	1	5	0	7	11	5	12	14	23	6	8	4	4	2	1	3	0	2	5	0	2	3	6	2	2	0	15	2	2	6	1
zASV1007	3	0	7	17	3	3	39	50	17	8	6	0	9	13	26	9	10	22	11	3	0	0	7	3	1	6	3	5	2	1	0	0	0	1	0	9	1	0	0	1
